City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
317,Komsomolskiy,UZ,40.4272,71.7189,38.12,87,75,4.61,broken clouds
318,Bardiyah,LY,31.7561,25.0865,53.47,70,100,12.71,overcast clouds
319,Poya,NC,-21.35,165.15,82.58,69,34,2.53,scattered clouds
320,Vicksburg,US,32.3526,-90.8779,71.28,67,0,0.0,clear sky
321,Hellin,ES,38.5106,-1.701,53.56,47,0,3.49,clear sky
322,Oktyabrskoye,RU,43.0645,44.7417,26.74,100,79,2.24,mist
323,Taoudenni,ML,22.6783,-3.9836,67.33,18,7,14.76,clear sky
324,Shenjiamen,CN,29.9576,122.298,44.69,77,100,18.97,overcast clouds
325,Mount Isa,AU,-20.7333,139.5,80.37,83,100,6.91,moderate rain
326,Roald,NO,62.5833,6.1333,33.94,80,0,10.36,clear sky
327,Chaoyang,CN,41.5703,120.4586,1.02,86,3,4.05,clear sky
328,Cabo San Lucas,MX,22.8909,-109.9124,76.6,56,20,5.01,few clouds
329,Krumbach,DE,48.2418,10.3632,42.85,86,100,11.54,overcast clouds
330,Jasper,US,37.2001,-94.3502,23.27,81,100,4.0,overcast clouds
331,Cuamba,MZ,-14.8031,36.5372,68.74,93,65,1.63,broken clouds
332,Trinidad,BO,-14.8333,-64.9,84.18,74,20,0.0,few clouds
333,Maniitsoq,GL,65.4167,-52.9,3.7,74,100,17.96,overcast clouds
334,Severo-Kurilsk,RU,50.6789,156.125,27.99,79,98,6.62,overcast clouds
335,Itarema,BR,-2.9248,-39.9167,79.88,78,43,11.59,scattered clouds
336,Lac Du Bonnet,CA,50.2536,-96.0612,-9.42,87,100,8.72,overcast clouds
337,Shieli,KZ,44.1667,66.75,24.67,95,7,2.68,clear sky
338,Touros,BR,-5.1989,-35.4608,83.3,72,39,12.84,scattered clouds
339,Shu,KZ,43.5983,73.7614,33.33,62,100,5.99,overcast clouds
340,Tanabe,JP,33.7333,135.3667,44.92,48,97,5.01,light rain
341,Qui Nhon,VN,13.7667,109.2333,72.95,87,100,7.92,overcast clouds
